lease_number
08-P15667-O
08-055692-O
08-057309-O
08-057308-O
08-056645-O
08-059973-O
7C-021445-O
08-289761-G
08-049049-O
08-283231-G
08-287272-G
08-279249-G
08-041176-O
7C-014131-O
7C-016031-O
7C-005606-O
08-290913-G
08-252927-G
08-038300-O
7C-263664-G
7C-009857-O
7C-010959-O
7C-016595-O
08-007998-O
08-007990-O
08-285901-G
08-045583-O
08-044641-O
7C-007803-O
08-292679-G
08-274852-G
08-276059-G
08-039402-G
08-115628-G
08-120730-G
7C-014576-O
08-031288-O
08-176517-G
08-245729-G
08-206543-G
08-289127-G
08-281851-G
08-045659-O
08-039014-O
08-030452-O
08-296978-G
08-185050-G
08-015119-O
7C-013800-O
08-053392-O
7C-206260-G
08-278642-G
08-168013-G
08-046563-O
08-273932-G
08-280863-G
08-281563-G
08-054682-O
08-049734-O
08-007215-O
7C-058133-G
08-037817-O
08-296977-G
08-052978-O
08-029448-O
08-034956-O
7C-183961-G
7C-185527-G
08-025489-O
08-044763-O
08-040400-O
08-038919-O
08-053533-O
08-296975-G
7C-198539-G
08-153475-G
08-025803-O
08-117464-G
7C-200687-G
7C-198533-G
7C-207321-G
7C-021380-O
08-055069-O
7C-003312-O
08-068100-G
08-031718-O
08-031780-O
08-044851-O
08-035847-O
08-850220-O
08-281850-G
08-282466-G
7C-243821-G
08-035344-G
08-209770-G
08-037070-O
08-038907-O
08-039496-O
08-053221-O
08-053218-O
08-288181-G
08-028057-O
08-286749-G
08-286750-G
08-057185-O
08-036305-O
08-032083-O
08-852610-O
08-177086-G
08-059408-O
08-050000-O
08-055147-O
08-277180-G
7C-012460-O
08-044452-O
08-046618-O
08-031751-O
08-056054-O
08-050913-O
08-056191-O
08-184167-G
08-045782-O
08-054681-O
08-148024-G
08-037498-O
08-091336-G
08-085287-G
08-296632-G
08-225576-G
08-256356-G
08-037338-O
08-054882-O
08-039240-O
08-045181-O
08-045806-O
08-214220-G
08-029831-O
08-025177-O
08-028247-O
08-044970-O
08-047711-O
08-045575-O
08-278774-G
08-015155-O
08-037299-O
08-055812-O
7C-146659-G
08-116174-G
08-852509-O
08-006477-O
08-028483-O
08-049957-O
08-119340-G
7C-229831-G
08-090076-G
08-037678-O
08-038941-O
08-054718-O
08-056308-O
7C-015382-O
7C-015447-O
7C-006515-O
08-040789-O
08-229641-G
08-069329-G
08-046018-O
7C-003116-O
08-289014-G
08-176618-G
08-050949-O
08-266635-G
08-043348-O
08-046860-O
7C-013462-O
7C-013130-O
08-055622-O
08-002573-O
7C-007312-O
08-100960-G
08-272574-G
8A-070033-O
08-282024-G
08-282467-G
